HPNR,Leistungstyp,Heilmittelbereich,Leistungserbringer,Grundlage,Leistungsart,Leistung,gültig ab,gültig bis,Eigentümer
10101,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,Massage,"Massage (Teil-/Großmassage) auch Spezialmassagen (Bindegewebs-, Reflexzonen-, Segment-, Periost-, Bürstenund Colonmassagen)",1900-01-01,9999-12-31,
20101,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,Massage,"Massage (Teil-/Großmassage) auch Spezialmassagen (Bindegewebs-, Reflexzonen-, Segment-, Periost-, Bürstenund Colonmassagen)",1900-01-01,9999-12-31,
60101,Heilmittel,Physiotherapie,Krankenhaus,,Massage,"Massage (Teil-/Großmassage) auch Spezialmassagen (Bindegewebs-, Reflexzonen-, Segment-, Periost-, Bürstenund Colonmassagen)",1900-01-01,9999-12-31,
80101,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,Massage,"Massage (Teil-/Großmassage) auch Spezialmassagen (Bindegewebs-, Reflexzonen-, Segment-, Periost-, Bürstenund Colonmassagen)",1900-01-01,9999-12-31,
10102,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,Massage,Unterwasserdruckstrahlmassage,1900-01-01,9999-12-31,GKV-SV
20102,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,Massage,Unterwasserdruckstrahlmassage,1900-01-01,9999-12-31,GKV-SV
60102,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,Massage,Unterwasserdruckstrahlmassage,1900-01-01,9999-12-31,GKV-SV
80102,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten, 125 Abs. 1 SGB V,Massage,Unterwasserdruckstrahlmassage,1900-01-01,9999-12-31,GKV-SV
10103,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,Massage,"Spezialmassagen (Bindegewebs,- Reflexzonen-, Segment-, Periost-,Bürsten- und Colonmassagen)",1900-01-01,9999-12-31,
20103,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,Massage,"Spezialmassagen (Bindegewebs,- Reflexzonen-, Segment-, Periost-,Bürsten- und Colonmassagen)",1900-01-01,9999-12-31,
60103,Heilmittel,Physiotherapie,Krankenhaus,,Massage,"Spezialmassagen (Bindegewebs,- Reflexzonen-, Segment-, Periost-,Bürsten- und Colonmassagen)",1900-01-01,9999-12-31,
80103,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,Massage,"Spezialmassagen (Bindegewebs,- Reflexzonen-, Segment-, Periost-,Bürsten- und Colonmassagen)",1900-01-01,9999-12-31,
10104,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,Massage,Teilmassage,1900-01-01,9999-12-31,
20104,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,Massage,Teilmassage,1900-01-01,9999-12-31,
60104,Heilmittel,Physiotherapie,Krankenhaus,,Massage,Teilmassage,1900-01-01,9999-12-31,
80104,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,Massage,Teilmassage,1900-01-01,9999-12-31,
10105,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,Massage,Spezialmassage,1900-01-01,9999-12-31,
20105,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,Massage,Spezialmassage,1900-01-01,9999-12-31,
60105,Heilmittel,Physiotherapie,Krankenhaus,,Massage,Spezialmassage,1900-01-01,9999-12-31,
80105,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,Massage,Spezialmassage,1900-01-01,9999-12-31,
10106,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister", 125 Abs. 1 SGB V,Massage,Klassische Massagetherapie (KMT),1900-01-01,9999-12-31,GKV-SV
20106,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut, 125 Abs. 1 SGB V,Massage,Klassische Massagetherapie (KMT),1900-01-01,9999-12-31,GKV-SV
60106,Heilmittel,Physiotherapie,Krankenhaus, 125 Abs. 1 SGB V,Massage,Klassische Massagetherapie (KMT),1900-01-01,9999-12-31,GKV-SV
